invoice_id,invoice_date,invoice_pono,invoice_podate,customer_phone,customer_name,customer_gst,customer_address,customer_email,customer_pincode,vehicle_model,vehicle_make,vehicle_license_plate_no,vehicle_external_bikeid,vehicle_registration_no,vehicle_year_of_manufacture,vehicle_fuel_type,vehicle_transmission_type,vehicle_engine_no,vehicle_chassis_no,vehicle_vin_no,vehicle_color,vehicle_reg_state,vehicle_reg_exp
INV1000,2025-05-17,PO1,2025-05-20,9203072382,Customer 1,GSTIN01XYZ1234A1Z0,Address line 1,customer1@example.com,992022,Model 1,Make 1,ABC01XYZ,BIKEID00001,REG0001,2018-01-01,Diesel,Automatic,ENG000001,CHS000001,VIN000001,White,UP,2026-05-17
INV1001,2025-05-26,PO2,2025-05-27,7098668791,Customer 2,GSTIN02XYZ1234A1Z1,Address line 2,customer2@example.com,497642,Model 2,Make 2,ABC02XYZ,BIKEID00002,REG0002,2024-01-01,Electric,Manual,ENG000002,CHS000002,VIN000002,Silver,TN,2030-05-25
INV1002,2025-07-04,PO3,2025-07-05,8305117479,Customer 3,GSTIN03XYZ1234A1Z2,Address line 3,customer3@example.com,570306,Model 3,Make 3,ABC03XYZ,BIKEID00003,REG0003,2023-01-01,Petrol,Automatic,ENG000003,CHS000003,VIN000003,Silver,KA,2028-07-03
INV1003,2025-04-12,PO4,2025-04-12,8755640736,Customer 4,GSTIN04XYZ1234A1Z3,Address line 4,customer4@example.com,983410,Model 4,Make 4,ABC04XYZ,BIKEID00004,REG0004,2017-01-01,Petrol,Manual,ENG000004,CHS000004,VIN000004,White,MH,2027-04-12
INV1004,2025-04-21,PO5,2025-04-25,6710169697,Customer 5,GSTIN05XYZ1234A1Z4,Address line 5,customer5@example.com,390179,Model 5,Make 5,ABC05XYZ,BIKEID00005,REG0005,2015-01-01,Electric,Automatic,ENG000005,CHS000005,VIN000005,White,MH,2028-04-20
INV1005,2025-06-21,PO6,2025-06-26,8095430855,Customer 6,GSTIN06XYZ1234A1Z5,Address line 6,customer6@example.com,587629,Model 6,Make 6,ABC06XYZ,BIKEID00006,REG0006,2018-01-01,Petrol,Manual,ENG000006,CHS000006,VIN000006,Red,TN,2028-06-20
INV1006,2025-06-22,PO7,2025-06-26,8902124946,Customer 7,GSTIN07XYZ1234A1Z6,Address line 7,customer7@example.com,648817,Model 7,Make 7,ABC07XYZ,BIKEID00007,REG0007,2017-01-01,Petrol,Manual,ENG000007,CHS000007,VIN000007,White,UP,2029-06-21
INV1007,2025-05-02,PO8,2025-05-04,8752261787,Customer 8,GSTIN08XYZ1234A1Z7,Address line 8,customer8@example.com,957097,Model 8,Make 8,ABC08XYZ,BIKEID00008,REG0008,2022-01-01,Electric,Automatic,ENG000008,CHS000008,VIN000008,White,DL,2026-05-02
INV1008,2025-04-24,PO9,2025-05-04,7380081312,Customer 9,GSTIN09XYZ1234A1Z8,Address line 9,customer9@example.com,968040,Model 9,Make 9,ABC09XYZ,BIKEID00009,REG0009,2020-01-01,Electric,Manual,ENG000009,CHS000009,VIN000009,Blue,KA,2028-04-23
INV1009,2025-06-08,PO10,2025-06-12,8089093329,Customer 10,GSTIN10XYZ1234A1Z0,Address line 10,customer10@example.com,207443,Model 10,Make 10,ABC10XYZ,BIKEID00010,REG0010,2022-01-01,Petrol,Manual,ENG000010,CHS000010,VIN000010,Red,UP,2029-06-07
inv1010,2025-10-25,,,8788809536,vip,,,,,model11,,,,,,,,,,,,,
